Compound.ID,Minimum.Degree,Molecular.Weight,Number.of.H.Bond.Donors,Number.of.Rings,Number.of.Rotatable.Bonds,Polar.Surface.Area,measured.log.solubility.in.mols.per.litre,solubility.above.or.below.median
Amigdalin,1,457.4320000000001,7,3,7,202.31999999999996,-0.77,1
Fenfuram,1,201.22500000000002,1,2,2,42.24,-3.3,0
citral,1,152.237,0,0,4,17.07,-2.06,1
Picene,2,278.354,0,5,0,0,-7.87,0
Thiophene,2,84.14299999999999,0,1,0,0,-1.33,1
benzothiazole,2,135.191,0,2,0,12.89,-1.5,1
"2,2,4,6,6'-PCB",1,326.437,0,2,1,0,-7.32,0
Estradiol,1,272.388,2,4,0,40.46,-5.03,0
Dieldrin,1,380.913,0,5,0,12.53,-6.29,0
Rotenone,1,394.42300000000023,0,5,3,63.22,-4.42,0
2-pyrrolidone,1,85.10600000000001,1,1,0,29.1,1.07,1
2-Chloronapthalene,1,162.61899999999997,0,2,0,0,-4.14,0
1-Pentene ,1,70.135,0,0,2,0,-2.68,1
Primidone,1,218.256,2,2,2,58.2,-2.64,1
Tetradecane,1,198.39399999999995,0,0,11,0,-7.96,0
2-Chloropropane,1,78.542,0,0,0,0,-1.41,1
2-Methylbutanol,1,88.14999999999999,1,0,2,20.23,-0.47,1
Benzonitrile,1,103.12399999999997,0,1,0,23.79,-1,1
Diazinon,1,304.35200000000003,0,1,7,53.47,-3.64,0
2-Undecanol,1,172.312,1,0,8,20.23,-2.94,0
"2,2',3,4,6-PCB",1,326.437,0,2,1,0,-7.43,0
Lenacil,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,0
Phorate,1,260.38599999999997,0,0,8,18.46,-4.11,0
Phenacetin,1,179.219,1,1,3,38.33,-2.35,1
Dinitramine,1,322.243,1,1,5,115.54000000000002,-5.47,0
1-Heptanol,1,116.204,1,0,5,20.23,-1.81,1
Theophylline,1,180.16699999999997,1,2,0,72.68,-1.39,1
Butethal,1,212.249,2,1,4,75.27000000000001,-1.661,1
"P,P'-DDE",1,318.0300000000001,0,2,2,0,-6.9,0
Methyl octanoate,1,158.24099999999999,0,0,6,26.3,-3.17,0
"1,4-Diethylbenzene ",1,134.22199999999998,0,1,2,0,-3.75,0
Terbufos,1,288.44,0,0,7,18.46,-4.755,0
Phenmedipham,1,300.314,2,2,3,76.66,-4.805,0
"1,1-Dichloroethylene",1,96.94399999999999,0,0,0,0,-1.64,1
1-Methylfluorene,1,180.25000000000003,0,3,0,0,-5.22,0
Valeraldehyde,1,86.13399999999999,0,0,3,17.07,-0.85,1
Diphenylamine,2,169.227,1,2,2,12.03,-3.5039999999999996,0
Fenothiocarb,1,253.367,0,1,6,29.540000000000003,-3.927,0
Piperophos,1,353.4900000000001,0,1,9,38.77,-4.15,0
1-Iodoheptane,1,226.101,0,0,5,0,-4.81,0
3-Chlorobiphenyl,1,188.657,0,2,1,0,-4.88,0
4-Pentene-1-ol,1,86.134,1,0,3,20.23,-0.15,1
Cyclobutyl-5-spirobarbituric acid,1,168.15200000000002,2,2,0,75.27,-1.655,1
menthol,1,156.269,1,1,1,20.23,-2.53,1
Isopropyl formate,1,88.106,0,0,2,26.3,-0.63,1
2-Heptanol ,1,116.20399999999998,1,0,4,20.23,-1.55,1
p-Bromoacetanilide,1,214.06199999999998,1,1,1,29.1,-3.083,0
brompyrazone,1,266.098,1,2,1,60.910000000000004,-3.127,0
nifedipine,1,346.33900000000017,1,2,4,107.77,-4.76,0
"2,7-dimethylquinoline",1,157.216,0,2,0,12.89,-1.94,1
1-Octyne ,1,110.19999999999999,0,0,4,0,-3.66,0
cyclobarbital,1,236.27099999999993,2,2,2,75.27000000000001,-2.17,1
Chrysene,2,228.29399999999998,0,4,0,0,-8.057,0
Bromacil,1,261.11899999999997,1,1,2,54.86,-2.523,1
"2,2',3,3',5,6-PCB",1,360.88200000000006,0,2,1,0,-8.6,0
2-Methylphenol,1,108.13999999999999,1,1,0,20.23,-0.62,1
"2,2,5-Trimethylhexane",1,128.259,0,0,2,0,-5.05,0
"1,4-Dimethylnaphthalene ",1,156.228,0,2,0,0,-4.14,0
6-Methylchrysene,1,242.321,0,4,0,0,-6.57,0
2-Pentanone,1,86.13399999999999,0,0,2,17.07,-0.19,1
"2,2',3,3',5,5',6,6'-PCB",1,429.77200000000016,0,2,1,0,-9.15,0
Methyl butyrate,1,116.15999999999998,0,0,3,26.3,-0.82,1
Triamcinolone,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,0
p-Aminophenol,1,109.12799999999999,2,1,0,46.25,-0.8,1
Benznidazole,1,260.253,1,2,5,90.06,-2.81,1
"Atovaquone(0,430mg/ml) - neutral",1,366.84400000000016,1,4,2,54.37,-5.931,0
Trietazine,1,229.71499999999997,1,1,5,53.940000000000005,-4.06,0
Pyrazinamide,1,123.11499999999998,1,1,1,68.87,-0.667,1
Carbromal,1,237.09699999999998,2,0,3,72.19,-2.68,1
"2,2'-PCB",1,223.102,0,2,1,0,-5.27,0
nitrofurantoin,1,238.15899999999996,1,2,3,118.04999999999998,-3.38,0
Nitrofen,1,284.09799999999996,0,2,3,52.37,-5.46,0
Camphor,1,152.237,0,2,0,17.07,-1.96,1
5-Allyl-5-phenylbarbital,1,244.25,2,2,3,75.27000000000001,-2.369,1
Pentyl propanoate,1,130.18699999999998,0,0,4,26.3,-2.25,1
Isopentyl acetate,1,130.18699999999998,0,0,3,26.3,-1.92,1
3-Hexanoyloxymethylphenyltoin,1,380.444,1,3,8,75.71,-5.886,0
"2,3',5-PCB",1,257.547,0,2,1,0,-6.01,0
1-Bromopropane,1,122.993,0,0,1,0,-1.73,1
Propiconazole,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,0
Formothion,1,257.27299999999997,0,0,6,55.84,-1.995,1
4-methylpteridine,1,146.15299999999996,0,2,0,51.56,-0.466,1
Thiourea,1,76.12400000000001,2,0,0,52.04,0.32,1
p-Xylene ,1,106.16799999999999,0,1,0,0,-2.77,1
"1,2-Diethylbenzene",1,134.22199999999998,0,1,2,0,-3.28,0
Hexachloroethane,1,236.74,0,0,0,0,-3.67,0
Flucythrinate,1,451.46900000000005,0,3,9,68.55000000000001,-6.876,0
1-Nitropropane,1,89.09399999999998,0,0,2,43.14,-0.8,1
Menthone,1,154.253,0,1,1,17.07,-2.35,1
RTI 24,1,273.723,1,3,1,45.230000000000004,-5.36,0
"2,3-Dichloronitrobenzene",1,192.00100000000003,0,1,1,43.14,-3.48,0
thiamylal,1,254.35500000000002,2,1,5,58.2,-3.46,0
Fluoranthene,2,202.25599999999997,0,4,0,0,-6,0
Propylisopropylether,1,102.17699999999998,0,0,3,9.23,-1.34,1
"1,3-Dimethylnaphthalene",1,156.22799999999998,0,2,0,0,-4.29,0
diethylstilbestrol,1,268.356,2,2,4,40.46,-4.07,0
Chlorothalonil,1,265.914,0,1,0,47.58,-5.64,0
"2,3',4',5-PCB",1,291.992,0,2,1,0,-7.25,0
styrene oxide,2,120.15099999999995,0,2,1,12.53,-1.6,1
Isopropylbenzene ,1,120.19499999999995,0,1,1,0,-3.27,0
Deoxycorticosterone,1,330.4680000000001,1,4,2,54.370000000000005,-3.45,0
chlorquinox,1,267.93,0,2,0,25.78,-5.43,0
L-arabinose,1,150.13,4,1,0,90.15,0.39,1
Dichloromethane,1,84.93299999999999,0,0,0,0,-0.63,1
1-Ethylnaphthalene ,1,156.22799999999998,0,2,1,0,-4.17,0
Methyl formate,1,60.05200000000001,0,0,1,26.3,0.58,1
o-Nitrophenol,1,139.10999999999999,1,1,1,63.37,-1.74,1
thymine,1,126.115,2,1,0,65.72,-1.506,1
2-Methylpropane,1,58.123999999999995,0,0,0,0,-2.55,1
Inosine,1,268.22900000000004,4,3,2,133.75,-1.23,1
Ioxynil,1,370.91499999999996,1,1,0,44.019999999999996,-3.61,0
Niclosamide,1,327.1230000000001,2,2,3,92.47,-4.7,0
Pentane,1,72.151,0,0,2,0,-3.18,0
Phenol,1,94.11299999999999,1,1,0,20.23,0,1
2-aminoanthracene,1,193.249,1,3,0,26.02,-5.17,0
theobromine,1,180.16699999999997,1,2,0,72.68,-2.523,1
Isoquinoline,2,129.16199999999998,0,2,0,12.89,-1.45,1
Anilofos,1,367.86,0,1,7,38.77,-4.4319999999999995,0
Hexylbenzene ,1,162.276,0,1,5,0,-5.21,0
2-Chlorobiphenyl,1,188.657,0,2,1,0,-4.54,0
2-Methyl-1-Pentene,1,84.16199999999999,0,0,2,0,-3.03,0
"2,3,4-Trimethylpentane",1,114.23199999999999,0,0,2,0,-4.8,0
Pentachlorobenzene,1,250.339,0,1,0,0,-5.65,0
m-Nitrophenol,1,139.10999999999999,1,1,1,63.37,-1.01,1
1-Decene,1,140.26999999999998,0,0,7,0,-5.51,0
Glyceryl triacetate,1,218.20499999999998,0,0,5,78.9,-0.6,1
dimethirimol,1,209.29299999999998,1,1,4,49.25000000000001,-2.24,1
Cyfluthrin,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,0
Pyridine,2,79.10199999999998,0,1,0,12.89,0.76,1
1-Bromoheptane,1,179.101,0,0,5,0,-4.43,0
"3,4-Dimethylpyridine",1,107.15599999999999,0,1,0,12.89,0.36,1
Fludrocortisone,1,380.45600000000013,3,4,2,94.83,-3.43,0
ethiofencarb,1,225.313,1,1,4,38.33,-2.09,1
Malonic acid diethylester,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,1
d-Limonene,1,136.238,0,1,1,0,-4.26,0
Indan,2,118.17899999999997,0,2,0,0,-3.04,0
p-t-Butylphenol,1,150.22099999999998,1,1,0,20.23,-2.41,1
Cyclopropyl-5-spirobarbituric acid,1,154.125,2,2,0,75.27,-1.886,1
m-Chloroiodobenzene,1,238.45499999999998,0,1,0,0,-3.55,0
1-Bromonapthalene,1,207.07,0,2,0,0,-4.35,0
trans-2-Pentene ,1,70.135,0,0,1,0,-2.54,1
"2,6-Dimethylpyridine",1,107.156,0,1,0,12.89,0.45,1
Trichloroethylene,1,131.389,0,0,0,0,-1.96,1
